condition,model,fold,feature,importance,rank
after,logistic_regression,3,mean concave points,0.010526315789473672,9.0
after,logistic_regression,3,mean concavity,0.010818713450292375,8.0
after,logistic_regression,3,mean fractal dimension,0.0008771929824561431,25.0
after,logistic_regression,3,mean perimeter,0.00292397660818714,23.0
after,logistic_regression,3,mean radius,0.0035087719298245723,19.0
after,logistic_regression,3,mean smoothness,0.003216374269005858,21.0
after,logistic_regression,3,mean symmetry,0.0,26.0
after,logistic_regression,3,mean texture,-0.0008771929824561505,30.0
after,logistic_regression,3,perimeter error,0.011695906432748522,6.0
after,logistic_regression,3,radius error,0.024853801169590625,2.0
after,logistic_regression,3,smoothness error,0.003508771929824565,20.0
after,logistic_regression,3,symmetry error,0.001461988304093568,24.0
after,logistic_regression,3,texture error,0.005263157894736851,17.0
after,logistic_regression,3,worst area,0.013450292397660801,5.0
after,logistic_regression,3,worst compactness,0.0,26.0
after,logistic_regression,3,worst concave points,0.009941520467836251,11.0
after,logistic_regression,3,worst concavity,0.005555555555555554,16.0
after,logistic_regression,3,worst fractal dimension,0.0,26.0
after,logistic_regression,3,worst perimeter,0.010233918128654958,10.0
after,logistic_regression,3,worst radius,0.013742690058479511,4.0
after,logistic_regression,3,worst smoothness,0.009064327485380119,12.0
after,logistic_regression,3,worst symmetry,0.011403508771929824,7.0
after,logistic_regression,3,worst texture,0.03274853801169588,1.0
after,logistic_regression,4,area error,0.010914454277286153,5.0
after,logistic_regression,4,compactness error,0.005604719764011808,13.0
after,logistic_regression,4,concave points error,0.0008849557522123908,19.0
after,logistic_regression,4,concavity error,0.0,24.0
after,logistic_regression,4,fractal dimension error,0.0032448377581120996,15.0
after,logistic_regression,4,mean area,0.0011799410029498544,18.0
after,logistic_regression,4,mean compactness,0.003539823008849563,14.0
after,logistic_regression,4,mean concave points,0.009734513274336299,8.0
after,logistic_regression,4,mean concavity,0.007669616519174053,10.0
after,logistic_regression,4,mean fractal dimension,0.0005899705014749272,21.0
after,logistic_regression,4,mean perimeter,0.0002949852507374636,23.0
after,logistic_regression,4,mean radius,0.0008849557522123908,19.0
after,logistic_regression,4,mean smoothness,0.0,24.0
after,logistic_regression,4,mean symmetry,0.0,24.0
after,logistic_regression,4,mean texture,0.002359882005899709,17.0
after,logistic_regression,4,perimeter error,0.002949852507374636,16.0
after,logistic_regression,4,radius error,0.01238938053097347,4.0
after,logistic_regression,4,smoothness error,0.0,24.0
after,logistic_regression,4,symmetry error,0.0,24.0
after,logistic_regression,4,texture error,0.0,24.0
after,logistic_regression,4,worst area,0.015044247787610638,3.0
after,logistic_regression,4,worst compactness,0.0,24.0
after,logistic_regression,4,worst concave points,0.007079646017699126,11.0
after,logistic_regression,4,worst concavity,0.010324483775811225,7.0
after,logistic_regression,4,worst fractal dimension,0.0005899705014749272,21.0
after,logistic_regression,4,worst perimeter,0.010914454277286153,5.0
after,logistic_regression,4,worst radius,0.016814159292035415,2.0
after,logistic_regression,4,worst smoothness,0.006489675516224199,12.0
after,logistic_regression,4,worst symmetry,0.009439528023598836,9.0
after,logistic_regression,4,worst texture,0.02477876106194692,1.0
after,random_forest,0,area error,-0.003216374269005858,23.0
after,random_forest,0,compactness error,0.0,2.0
after,random_forest,0,concave points error,0.0,2.0
after,random_forest,0,concavity error,0.0,2.0
after,random_forest,0,fractal dimension error,0.0,2.0
after,random_forest,0,mean area,-0.0038011695906432865,25.0
after,random_forest,0,mean compactness,0.0,2.0
after,random_forest,0,mean concave points,-0.010526315789473684,30.0
after,random_forest,0,mean concavity,-0.006432748538011716,28.0
after,random_forest,0,mean fractal dimension,0.0,2.0
after,random_forest,0,mean perimeter,-0.0038011695906432865,25.0
after,random_forest,0,mean radius,-0.005555555555555573,27.0
after,random_forest,0,mean smoothness,0.0,2.0
after,random_forest,0,mean symmetry,-0.0005847953216374288,18.0
after,random_forest,0,mean texture,-0.0020467836257310004,20.0
after,random_forest,0,perimeter error,0.0,2.0
after,random_forest,0,radius error,0.0,2.0
after,random_forest,0,smoothness error,0.0,2.0
after,random_forest,0,symmetry error,0.0,2.0
after,random_forest,0,texture error,-0.0002923976608187144,16.0
after,random_forest,0,worst area,0.015789473684210544,1.0
after,random_forest,0,worst compactness,0.0,2.0
after,random_forest,0,worst concave points,-0.002631578947368418,22.0
after,random_forest,0,worst concavity,-0.008187134502923988,29.0
after,random_forest,0,worst fractal dimension,0.0,2.0
after,random_forest,0,worst perimeter,-0.003508771929824561,24.0
after,random_forest,0,worst radius,-0.0002923976608187144,16.0
after,random_forest,0,worst smoothness,-0.0005847953216374288,18.0
after,random_forest,0,worst symmetry,0.0,2.0
after,random_forest,0,worst texture,-0.0020467836257310004,20.0
after,random_forest,1,area error,-0.0011695906432748167,28.0
after,random_forest,1,compactness error,0.004385964912280727,13.0
after,random_forest,1,concave points error,0.003216374269005858,15.0
after,random_forest,1,concavity error,0.004970760233918152,11.0
after,random_forest,1,fractal dimension error,0.0011695906432748649,21.0
after,random_forest,1,mean area,0.005555555555555573,10.0
after,random_forest,1,mean compactness,0.0,26.0
after,random_forest,1,mean concave points,0.008479532163742724,5.0
after,random_forest,1,mean concavity,0.002046783625731023,17.0
after,random_forest,1,mean fractal dimension,-0.00029239766081869215,27.0
