condition,model,feature,pi_mean,pi_std,n_observations,top10_fold_count
before,logistic_regression,mean concave points,0.00023391812865497147,0.0014179561757862494,150,2
before,logistic_regression,mean concavity,0.00040935672514620013,0.001856407967387971,150,2
before,logistic_regression,mean fractal dimension,0.0,0.0,150,2
before,logistic_regression,mean perimeter,0.2681498732080939,0.09905832740330983,150,5
before,logistic_regression,mean radius,0.03074522589659989,0.026427142419412925,150,5
before,logistic_regression,mean smoothness,0.0,0.0,150,2
before,logistic_regression,mean symmetry,5.847953216374287e-05,0.0007162250709892357,150,2
before,logistic_regression,mean texture,0.003448222325725814,0.01309604385352298,150,1
before,logistic_regression,perimeter error,0.005208818506443095,0.010219929459348813,150,2
before,logistic_regression,radius error,0.00023391812865497147,0.0014179561757862492,150,2
before,logistic_regression,smoothness error,0.0,0.0,150,2
before,logistic_regression,symmetry error,0.0,0.0,150,2
before,logistic_regression,texture error,0.007835222273974015,0.010677115881145418,150,4
before,logistic_regression,worst area,0.2775945764115303,0.07751895353240713,150,5
before,logistic_regression,worst compactness,0.001518915282306065,0.004162806559592016,150,1
before,logistic_regression,worst concave points,0.00040935672514620013,0.0018564079673879708,150,2
before,logistic_regression,worst concavity,0.00543859649122808,0.007023346766865965,150,4
before,logistic_regression,worst fractal dimension,0.0,0.0,150,2
before,logistic_regression,worst perimeter,0.17269471614138587,0.0629625522866648,150,5
before,logistic_regression,worst radius,0.00731201159240283,0.012597625709964326,150,3
before,logistic_regression,worst smoothness,0.0,0.0,150,2
before,logistic_regression,worst symmetry,0.00035087719298245725,0.00172469878004009,150,2
before,logistic_regression,worst texture,0.06943487036174505,0.03533076327040472,150,5
before,random_forest,area error,-0.001225482585519846,0.005665809015013615,150,1
before,random_forest,compactness error,0.0012280701754386026,0.004068963306680542,150,2
before,random_forest,concave points error,0.0007017543859649145,0.0023877373404377848,150,1
before,random_forest,concavity error,0.0009941520467836302,0.0037391499309795077,150,1
before,random_forest,fractal dimension error,0.0005263157894736873,0.0025366528446336286,150,2
before,random_forest,mean area,0.0011695906432748514,0.004730565533708543,150,3
before,random_forest,mean compactness,0.0,0.0,150,1
before,random_forest,mean concave points,-0.00120840449205611,0.011299912693981468,150,2
before,random_forest,mean concavity,-0.0011654504994048542,0.006953842880973227,150,1
before,random_forest,mean fractal dimension,4.440892098500626e-18,0.0024893882623178982,150,1
before,random_forest,mean perimeter,-0.0009356725146198822,0.005486703092296575,150,2
before,random_forest,mean radius,0.00017543859649121974,0.0054226396573150894,150,1
before,random_forest,mean smoothness,0.0018760026910935243,0.004269579411598473,150,3
before,random_forest,mean symmetry,0.001345029239766086,0.003626977853567428,150,1
before,random_forest,mean texture,0.002458210422812202,0.005938607681092918,150,3
before,random_forest,perimeter error,-0.00017543859649122564,0.003865905892771503,150,1
before,random_forest,radius error,0.00017543859649122714,0.003127461713801389,150,1
before,random_forest,smoothness error,0.0009356725146198897,0.003955264636114245,150,1
before,random_forest,symmetry error,0.0015789473684210576,0.003812098037003735,150,2
before,random_forest,texture error,0.00023391812865497446,0.0026785838267491557,150,0
before,random_forest,worst area,0.011602235677689797,0.012184654946752341,150,5
before,random_forest,worst compactness,0.001520467836257311,0.005255957501235204,150,2
before,random_forest,worst concave points,0.006518656523314178,0.012539074100136835,150,3
before,random_forest,worst concavity,0.0007731718677223968,0.009278490089906518,150,3
before,random_forest,worst fractal dimension,0.0006432748538011739,0.0028918125777841618,150,1
before,random_forest,worst perimeter,0.0002923976608187136,0.0074969217850929535,150,1
before,random_forest,worst radius,0.003216374269005846,0.008093171018374111,150,2
before,random_forest,worst smoothness,0.002464420638617193,0.0059452883115449755,150,3
before,random_forest,worst symmetry,0.0019883040935672605,0.004446963865613634,150,2
before,random_forest,worst texture,0.007620452310717798,0.008309439476402952,150,4
