model,outer_fold,threshold,inner_f1,inner_precision,inner_recall,inner_balanced_accuracy
logistic_regression,0,0.77,0.37333333333333335,0.9032258064516129,0.23529411764705882,0.6166342296540493
logistic_regression,0,0.78,0.37333333333333335,0.9032258064516129,0.23529411764705882,0.6166342296540493
logistic_regression,0,0.79,0.35135135135135137,0.896551724137931,0.2184873949579832,0.6082308683095115
logistic_regression,0,0.8,0.3310344827586207,0.9230769230769231,0.20168067226890757,0.6001651166881338
logistic_regression,0,0.81,0.3076923076923077,0.9166666666666666,0.18487394957983194,0.5917617553435959
logistic_regression,0,0.82,0.3076923076923077,0.9166666666666666,0.18487394957983194,0.5917617553435959
logistic_regression,0,0.83,0.29577464788732394,0.9130434782608695,0.17647058823529413,0.587560074671327
logistic_regression,0,0.84,0.28368794326241137,0.9090909090909091,0.16806722689075632,0.5833583939990581
logistic_regression,0,0.85,0.2733812949640288,0.95,0.15966386554621848,0.5794943230499492
logistic_regression,0,0.86,0.25,1.0,0.14285714285714285,0.5714285714285714
logistic_regression,0,0.87,0.25,1.0,0.14285714285714285,0.5714285714285714
logistic_regression,0,0.88,0.21052631578947367,1.0,0.11764705882352941,0.5588235294117647
logistic_regression,0,0.89,0.19696969696969696,1.0,0.1092436974789916,0.5546218487394958
logistic_regression,0,0.9,0.16923076923076924,1.0,0.09243697478991597,0.546218487394958
logistic_regression,0,0.91,0.16923076923076924,1.0,0.09243697478991597,0.546218487394958
logistic_regression,0,0.92,0.15503875968992248,1.0,0.08403361344537816,0.542016806722689
logistic_regression,0,0.93,0.15503875968992248,1.0,0.08403361344537816,0.542016806722689
logistic_regression,0,0.94,0.140625,1.0,0.07563025210084033,0.5378151260504201
logistic_regression,0,0.95,0.140625,1.0,0.07563025210084033,0.5378151260504201
linear_svc,0,0.05,0.3366013071895425,0.20892494929006086,0.865546218487395,0.801105317211287
linear_svc,0,0.06,0.37294332723948814,0.2383177570093458,0.8571428571428571,0.8185106588212597
linear_svc,0,0.07,0.4089068825910931,0.2693333333333333,0.8487394957983193,0.8318646837533122
linear_svc,0,0.08,0.41125541125541126,0.27696793002915454,0.7983193277310925,0.8154324525218595
linear_svc,0,0.09,0.4387990762124711,0.30254777070063693,0.7983193277310925,0.8252231344935004
linear_svc,0,0.1,0.45255474452554745,0.3184931506849315,0.7815126050420168,0.823571967612163
linear_svc,0,0.11,0.4869109947643979,0.35361216730038025,0.7815126050420168,0.8333626495838038
linear_svc,0,0.12,0.5027027027027027,0.3705179282868526,0.7815126050420168,0.8374139662617242
linear_svc,0,0.13,0.5098039215686274,0.38235294117647056,0.7647058823529411,0.8327243118719465
linear_svc,0,0.14,0.5161290322580645,0.3963963963963964,0.7394957983193278,0.8245081962562202
linear_svc,0,0.15,0.5301204819277109,0.4131455399061033,0.7394957983193278,0.8275466837646606
linear_svc,0,0.16,0.54375,0.43283582089552236,0.7310924369747899,0.8270587100471518
linear_svc,0,0.17,0.5490196078431373,0.44919786096256686,0.7058823529411765,0.8181673749851055
linear_svc,0,0.18,0.5674740484429066,0.4823529411764706,0.6890756302521008,0.814828159487968
linear_svc,0,0.19,0.5571428571428572,0.484472049689441,0.6554621848739496,0.7997094854146926
linear_svc,0,0.2,0.5608856088560885,0.5,0.6386554621848739,0.7936693921322748
linear_svc,0,0.21,0.5648854961832062,0.5174825174825175,0.6218487394957983,0.7876292988498573
linear_svc,0,0.22,0.5658914728682171,0.5251798561151079,0.6134453781512605,0.7844404473470685
linear_svc,0,0.23,0.5587044534412956,0.5390625,0.5798319327731093,0.7699969927201131
linear_svc,0,0.24,0.5596707818930041,0.5483870967741935,0.5714285714285714,0.7668081412173242
linear_svc,0,0.25,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7684961898331244
linear_svc,0,0.26,0.5836909871244635,0.5964912280701754,0.5714285714285714,0.7701842384489245
linear_svc,0,0.27,0.5814977973568282,0.6111111111111112,0.5546218487394958,0.7631313159970268
linear_svc,0,0.28,0.5866666666666667,0.6226415094339622,0.5546218487394958,0.7638065354433468
linear_svc,0,0.29,0.5919282511210763,0.6346153846153846,0.5546218487394958,0.764481754889667
linear_svc,0,0.3,0.593607305936073,0.65,0.5462184873949579,0.761292903386878
linear_svc,0,0.31,0.5953488372093023,0.6666666666666666,0.5378151260504201,0.7581040518840891
linear_svc,0,0.32,0.5961538461538461,0.6966292134831461,0.5210084033613446,0.7513887391553515
linear_svc,0,0.33,0.5853658536585366,0.6976744186046512,0.5042016806722689,0.7433229875339737
linear_svc,0,0.34,0.5841584158415841,0.7108433734939759,0.4957983193277311,0.7397965263080248
linear_svc,0,0.35,0.5858585858585859,0.7341772151898734,0.48739495798319327,0.736607674805236
linear_svc,0,0.36,0.5948717948717949,0.7631578947368421,0.48739495798319327,0.7376205039747161
linear_svc,0,0.37,0.5948717948717949,0.7631578947368421,0.48739495798319327,0.7376205039747161
linear_svc,0,0.38,0.5906735751295337,0.7702702702702703,0.4789915966386555,0.7337564330256073
linear_svc,0,0.39,0.5714285714285714,0.7714285714285715,0.453781512605042,0.7214890007319605
linear_svc,0,0.4,0.5638297872340425,0.7681159420289855,0.44537815126050423,0.7172873200596916
linear_svc,0,0.41,0.5591397849462365,0.7761194029850746,0.4369747899159664,0.7134232491105827
linear_svc,0,0.42,0.5543478260869565,0.7846153846153846,0.42857142857142855,0.7095591781614738
linear_svc,0,0.43,0.546448087431694,0.78125,0.42016806722689076,0.705357497489205
linear_svc,0,0.44,0.546448087431694,0.78125,0.42016806722689076,0.705357497489205
linear_svc,0,0.45,0.5414364640883977,0.7903225806451613,0.4117647058823529,0.701493426540096
linear_svc,0,0.46,0.5414364640883977,0.7903225806451613,0.4117647058823529,0.701493426540096
linear_svc,0,0.47,0.5414364640883977,0.7903225806451613,0.4117647058823529,0.701493426540096
linear_svc,0,0.48,0.5393258426966292,0.8135593220338984,0.40336134453781514,0.6979669653141473
linear_svc,0,0.49,0.5423728813559322,0.8275862068965517,0.40336134453781514,0.6983045750373074
linear_svc,0,0.5,0.5485714285714286,0.8571428571428571,0.40336134453781514,0.6989797944836273
