experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value,cleaning,analyzer
D_ablation,D2,random_forest,2,42,5889,1472,9.808433832999071,0.39521599799991236,f1_macro,0.8905136368568323,none,sudachi_core_mode_c
D_ablation,D2,random_forest,2,42,5889,1472,9.808433832999071,0.39521599799991236,f1_weighted,0.9022055390435559,none,sudachi_core_mode_c
D_ablation,D2,random_forest,3,42,5889,1472,9.844769272000121,0.4522154820006108,accuracy,0.9035326086956522,none,sudachi_core_mode_c
D_ablation,D2,random_forest,3,42,5889,1472,9.844769272000121,0.4522154820006108,f1_macro,0.8884409056565326,none,sudachi_core_mode_c
D_ablation,D2,random_forest,3,42,5889,1472,9.844769272000121,0.4522154820006108,f1_weighted,0.8995342687105491,none,sudachi_core_mode_c
D_ablation,D2,random_forest,4,42,5889,1472,9.879790143999344,0.40472819400019944,accuracy,0.907608695652174,none,sudachi_core_mode_c
D_ablation,D2,random_forest,4,42,5889,1472,9.879790143999344,0.40472819400019944,f1_macro,0.8911289079013867,none,sudachi_core_mode_c
D_ablation,D2,random_forest,4,42,5889,1472,9.879790143999344,0.40472819400019944,f1_weighted,0.9030657134161512,none,sudachi_core_mode_c
D_ablation,D2,knn,0,42,5888,1473,1.1575990169985744,0.6511415179993492,accuracy,0.7942973523421588,none,sudachi_core_mode_c
D_ablation,D2,knn,0,42,5888,1473,1.1575990169985744,0.6511415179993492,f1_macro,0.786987201225367,none,sudachi_core_mode_c
D_ablation,D2,knn,0,42,5888,1473,1.1575990169985744,0.6511415179993492,f1_weighted,0.7909603175318282,none,sudachi_core_mode_c
D_ablation,D2,knn,1,42,5889,1472,1.160626136999781,0.6772791000003053,accuracy,0.8002717391304348,none,sudachi_core_mode_c
D_ablation,D2,knn,1,42,5889,1472,1.160626136999781,0.6772791000003053,f1_macro,0.791105028294083,none,sudachi_core_mode_c
D_ablation,D2,knn,1,42,5889,1472,1.160626136999781,0.6772791000003053,f1_weighted,0.797241969661708,none,sudachi_core_mode_c
D_ablation,D2,knn,2,42,5889,1472,1.2070542469991778,0.637973349999811,accuracy,0.8023097826086957,none,sudachi_core_mode_c
D_ablation,D2,knn,2,42,5889,1472,1.2070542469991778,0.637973349999811,f1_macro,0.7948430666436754,none,sudachi_core_mode_c
D_ablation,D2,knn,2,42,5889,1472,1.2070542469991778,0.637973349999811,f1_weighted,0.7986509084610841,none,sudachi_core_mode_c
D_ablation,D2,knn,3,42,5889,1472,1.1753442879999056,0.7227141119983571,accuracy,0.8002717391304348,none,sudachi_core_mode_c
D_ablation,D2,knn,3,42,5889,1472,1.1753442879999056,0.7227141119983571,f1_macro,0.7914707896979226,none,sudachi_core_mode_c
D_ablation,D2,knn,3,42,5889,1472,1.1753442879999056,0.7227141119983571,f1_weighted,0.7965003314610211,none,sudachi_core_mode_c
D_ablation,D2,knn,4,42,5889,1472,1.181613983000716,0.6526698719990236,accuracy,0.8023097826086957,none,sudachi_core_mode_c
D_ablation,D2,knn,4,42,5889,1472,1.181613983000716,0.6526698719990236,f1_macro,0.7954063631194249,none,sudachi_core_mode_c
D_ablation,D2,knn,4,42,5889,1472,1.181613983000716,0.6526698719990236,f1_weighted,0.7996905746402484,none,sudachi_core_mode_c
D_ablation,D3,logistic_regression,0,42,5888,1473,8.2535269229993,0.30559563700080616,accuracy,0.9131025118805159,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,0,42,5888,1473,8.2535269229993,0.30559563700080616,f1_macro,0.9066058351512564,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,0,42,5888,1473,8.2535269229993,0.30559563700080616,f1_weighted,0.912095221796357,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,1,42,5889,1472,8.848248345000684,0.3140052660000947,accuracy,0.9144021739130435,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,1,42,5889,1472,8.848248345000684,0.3140052660000947,f1_macro,0.9067853721111006,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,1,42,5889,1472,8.848248345000684,0.3140052660000947,f1_weighted,0.9128934354328966,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,2,42,5889,1472,7.043122638999193,0.35314098600065336,accuracy,0.923233695652174,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,2,42,5889,1472,7.043122638999193,0.35314098600065336,f1_macro,0.9174615638433795,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,2,42,5889,1472,7.043122638999193,0.35314098600065336,f1_weighted,0.9226025336318086,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,3,42,5889,1472,7.784173263000412,0.3291300250002678,accuracy,0.9103260869565217,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,3,42,5889,1472,7.784173263000412,0.3291300250002678,f1_macro,0.903817973969639,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,3,42,5889,1472,7.784173263000412,0.3291300250002678,f1_weighted,0.9091542404107891,neologdn,sudachi_core_mode_c
D_ablation,D3,logistic_regression,4,42,5889,1472,8.045846136001273,0.36813145199994324,accuracy,0.9177989130434783,neologdn,sudachi_core_mode_c
